query,doc,rel
stars closest to the andromeda galaxy,3152,
stars closest to the andromeda galaxy,2007,
stars closest to the andromeda galaxy,4388,
stars closest to the andromeda galaxy,1950,
stars closest to the andromeda galaxy,2058,
stars closest to the andromeda galaxy,2177,
stars closest to the andromeda galaxy,6573,
stars closest to the andromeda galaxy,3864,
stars closest to the andromeda galaxy,460,
stars closest to the andromeda galaxy,5954,
stars closest to the andromeda galaxy,1946,
stars closest to the andromeda galaxy,3126,
stars closest to the andromeda galaxy,1964,
stars closest to the andromeda galaxy,2618,
stars closest to the andromeda galaxy,3021,
stars closest to the andromeda galaxy,786,
stars closest to the andromeda galaxy,2982,
stars closest to the andromeda galaxy,1943,
stars closest to the andromeda galaxy,3699,
stars closest to the andromeda galaxy,3845,
stars closest to the andromeda galaxy,3462,
easiest to see galaxy,6603,
easiest to see galaxy,2589,
easiest to see galaxy,6777,
easiest to see galaxy,3490,
easiest to see galaxy,4572,
easiest to see galaxy,3385,
easiest to see galaxy,2436,
easiest to see galaxy,3974,
easiest to see galaxy,4940,
easiest to see galaxy,6378,
easiest to see galaxy,3784,
easiest to see galaxy,4437,
easiest to see galaxy,4528,
easiest to see galaxy,4451,
easiest to see galaxy,3870,
easiest to see galaxy,3194,
easiest to see galaxy,156,
easiest to see galaxy,4499,
easiest to see galaxy,639,
easiest to see galaxy,105,
easiest to see galaxy,3098,
easiest to see galaxy,4582,
easiest to see galaxy,624,
easiest to see galaxy,4501,
easiest to see galaxy,5313,
easiest to see galaxy,3155,
easiest to see galaxy,2934,
easiest to see galaxy,3950,
easiest to see galaxy,5720,
easiest to see galaxy,1053,
easiest to see galaxy,4504,
easiest to see galaxy,517,
easiest to see galaxy,2496,
easiest to see galaxy,4242,
easiest to see galaxy,2320,
easiest to see galaxy,4166,
easiest to see galaxy,2224,
easiest to see galaxy,2329,
easiest to see galaxy,6773,
easiest to see galaxy,3486,
easiest to see galaxy,1330,
easiest to see galaxy,6069,
easiest to see galaxy,209,
easiest to see galaxy,736,
easiest to see galaxy,2225,
easiest to see galaxy,2334,
easiest to see galaxy,2270,
easiest to see galaxy,5665,
easiest to see galaxy,2713,
easiest to see galaxy,4074,
nebula,3015,
nebula,5942,
nebula,3800,
nebula,3102,
nebula,2143,
nebula,3024,
nebula,3799,
nebula,1053,
nebula,2362,
nebula,5342,
nebula,4559,
nebula,728,
nebula,3026,
nebula,3020,
nebula,3036,
nebula,6248,
nebula,4765,
nebula,3019,
nebula,3593,
nebula,3604,
nebula,2956,
nebula,4204,
nebula,3517,
nebula,6663,
nebula,2806,
nebula,3029,
nebula,791,
nebula,3279,
nebula,5807,
nebula,788,
nebula,2327,
nebula,3025,
nebula,3507,
nebula,1083,
nebula,248,
nebula,3022,
nebula,6193,
nebula,4170,
nebula,2695,
nebula,3035,
nebula,2802,
nebula,2542,
nebula,2147,
nebula,256,
nebula,252,
nebula,391,
nebula,3965,
nebula,6757,
nebula,2859,
nebula,2552,
largest galaxy,2998,
largest galaxy,3350,
largest galaxy,3893,
largest galaxy,845,
largest galaxy,2534,
largest galaxy,2514,
largest galaxy,2524,
largest galaxy,2602,
largest galaxy,2535,
largest galaxy,2449,
largest galaxy,2515,
largest galaxy,2604,
largest galaxy,2537,
largest galaxy,4360,
largest galaxy,2337,
largest galaxy,2462,
largest galaxy,3206,
largest galaxy,4500,
largest galaxy,624,
largest galaxy,2614,
largest galaxy,3992,
largest galaxy,3692,
largest galaxy,3021,
largest galaxy,4499,
largest galaxy,2453,
largest galaxy,2394,
largest galaxy,5848,
largest galaxy,2981,
largest galaxy,2586,
largest galaxy,467,
largest galaxy,3131,
largest galaxy,4659,
largest galaxy,466,
largest galaxy,3950,
largest galaxy,2536,
largest galaxy,2520,
largest galaxy,1069,
largest galaxy,3530,
largest galaxy,3810,
largest galaxy,517,
largest galaxy,634,
largest galaxy,2424,
largest galaxy,4729,
largest galaxy,4731,
largest galaxy,682,
largest galaxy,999,
largest galaxy,2888,
largest galaxy,6688,
largest galaxy,6735,
largest galaxy,6736,
brightest object,2504,
brightest object,1445,
brightest object,5817,
brightest object,6177,
brightest object,1540,
brightest object,1860,
brightest object,5637,
brightest object,4760,
brightest object,4857,
brightest object,3447,
brightest object,2778,
brightest object,1994,
brightest object,712,
brightest object,3874,
brightest object,4436,
brightest object,5562,
brightest object,595,
brightest object,793,
brightest object,1370,
brightest object,1503,
brightest object,1022,
brightest object,1493,
brightest object,5600,
brightest object,1104,
brightest object,2503,
brightest object,2130,
brightest object,4588,
brightest object,119,
brightest object,154,
brightest object,4797,
brightest object,5219,
brightest object,3338,
brightest object,3402,
brightest object,1031,
brightest object,4194,
brightest object,5463,
brightest object,1068,
brightest object,6322,
brightest object,5224,
brightest object,6058,
brightest object,1050,
brightest object,764,
brightest object,1547,
brightest object,1417,
brightest object,3394,
brightest object,1813,
brightest object,1263,
brightest object,432,
brightest object,4346,
brightest object,853,
binary stars,12314,5
binary stars,2858,4
binary stars,11901,5
binary stars,10025,4
binary stars,10360,4
binary stars,10270,5
binary stars,3006,5
binary stars,11899,3
binary stars,894,5
binary stars,1746,2
binary stars,4207,3
binary stars,3930,3
binary stars,382,3
binary stars,6210,5
binary stars,587,3
binary stars,3070,4
binary stars,6383,5
binary stars,2019,4
binary stars,1992,4
binary stars,3006,5
binary stars,3930,3
binary stars,4586,3
binary stars,1176,4
binary stars,6329,4
binary stars,4257,4
binary stars,7093,3
binary stars,11450,4
binary stars,11865,2
binary stars,10485,5
binary stars,10093,4
binary stars,1176,4
binary stars,11937,4
binary stars,3815,4
binary stars,8535,4
binary stars,6329,4
binary stars,4482,4
binary stars,3276,4
binary stars,3500,4
binary stars,5434,4
binary stars,4584,4
binary stars,438,4
binary stars,950,4
binary stars,1767,4
binary stars,3448,4
binary stars,2138,4
binary stars,249,4
binary stars,955,4
binary stars,2392,4
binary stars,553,4
binary stars,181,4
galaxies,5212,
galaxies,1857,
galaxies,5388,
galaxies,6835,
galaxies,5383,
galaxies,4992,
galaxies,2571,
galaxies,5012,
galaxies,6688,
galaxies,6735,
galaxies,6736,
galaxies,2114,
galaxies,6043,
galaxies,6035,
galaxies,6289,
galaxies,3352,
galaxies,845,
galaxies,4528,
galaxies,105,
galaxies,6038,
galaxies,2934,
galaxies,6193,
galaxies,841,
galaxies,4933,
galaxies,6133,
galaxies,3170,
galaxies,517,
galaxies,5262,
galaxies,2177,
galaxies,1973,
galaxies,5327,
galaxies,1874,
galaxies,229,
galaxies,302,
galaxies,6314,
galaxies,6010,
galaxies,3350,
galaxies,6104,
galaxies,3322,
galaxies,2508,
galaxies,496,
galaxies,6746,
galaxies,3118,
galaxies,3955,
galaxies,5056,
galaxies,6559,
galaxies,3349,
galaxies,1133,
galaxies,5201,
galaxies,1940,
stars nearest to the earth,2138,
stars nearest to the earth,3699,
stars nearest to the earth,895,
stars nearest to the earth,3666,
stars nearest to the earth,3651,
stars nearest to the earth,3185,
stars nearest to the earth,1676,
stars nearest to the earth,831,
stars nearest to the earth,6860,
stars nearest to the earth,3369,
stars nearest to the earth,4301,
stars nearest to the earth,6464,
stars nearest to the earth,915,
stars nearest to the earth,5463,
stars nearest to the earth,1199,
stars nearest to the earth,2338,
stars nearest to the earth,305,
stars nearest to the earth,1433,
stars nearest to the earth,868,
stars nearest to the earth,553,
stars nearest to the earth,2790,
stars nearest to the earth,3753,
stars nearest to the earth,2674,
stars nearest to the earth,1275,
stars nearest to the earth,469,
stars nearest to the earth,6861,
stars nearest to the earth,902,
stars nearest to the earth,3131,
stars nearest to the earth,1937,
stars nearest to the earth,283,
stars nearest to the earth,2950,
stars nearest to the earth,2531,
stars nearest to the earth,4498,
stars nearest to the earth,2586,
stars nearest to the earth,4241,
stars nearest to the earth,3824,
stars nearest to the earth,2259,
stars nearest to the earth,6777,
stars nearest to the earth,3490,
stars nearest to the earth,3385,
stars nearest to the earth,202,
stars nearest to the earth,388,
stars nearest to the earth,3020,
stars nearest to the earth,244,
stars nearest to the earth,4451,
stars nearest to the earth,3870,
stars nearest to the earth,3194,
stars nearest to the earth,3098,
stars nearest to the earth,4786,
stars nearest to the earth,726,
biggest star,4874,
biggest star,5344,
biggest star,6092,
biggest star,4145,
biggest star,2716,
biggest star,6663,
biggest star,237,
biggest star,249,
biggest star,2858,
biggest star,1857,
biggest star,5591,
biggest star,4010,
biggest star,4202,
biggest star,3459,
biggest star,3418,
biggest star,4353,
biggest star,1754,
biggest star,4167,
biggest star,2708,
biggest star,830,
biggest star,3781,
biggest star,3303,
biggest star,3183,
biggest star,5497,
biggest star,3600,
biggest star,348,
biggest star,3354,
biggest star,39,
biggest star,2827,
biggest star,840,
biggest star,572,
biggest star,3278,
biggest star,3021,
biggest star,1396,
biggest star,3687,
biggest star,4061,
biggest star,2860,
biggest star,2046,
biggest star,4090,
biggest star,3229,
biggest star,4309,
biggest star,1213,
biggest star,5184,
biggest star,1512,
biggest star,2047,
biggest star,4855,
biggest star,3908,
biggest star,5131,
biggest star,5403,
biggest star,3015,
nebula closest to the earth,3102,
nebula closest to the earth,3799,
nebula closest to the earth,388,
nebula closest to the earth,2058,
nebula closest to the earth,726,
nebula closest to the earth,3699,
nebula closest to the earth,305,
nebula closest to the earth,3133,
nebula closest to the earth,2748,
nebula closest to the earth,2476,
nebula closest to the earth,4765,
nebula closest to the earth,2191,
nebula closest to the earth,1950,
nebula closest to the earth,5485,
nebula closest to the earth,5472,
nebula closest to the earth,3152,
nebula closest to the earth,5954,
nebula closest to the earth,3020,
nebula closest to the earth,1154,
nebula closest to the earth,3015,
nebula closest to the earth,1964,
nebula closest to the earth,6573,
nebula closest to the earth,5785,
nebula closest to the earth,3864,
nebula closest to the earth,2618,
nebula closest to the earth,3126,
nebula closest to the earth,1943,
nebula closest to the earth,1275,
nebula closest to the earth,5845,
nebula closest to the earth,6814,
nebula closest to the earth,786,
nebula closest to the earth,2956,
nebula closest to the earth,5942,
nebula closest to the earth,3800,
nebula closest to the earth,2327,
nebula closest to the earth,1957,
nebula closest to the earth,3177,
nebula closest to the earth,3131,
nebula closest to the earth,6519,
nebula closest to the earth,2677,
nebula closest to the earth,4425,
nebula closest to the earth,4065,
nebula closest to the earth,6773,
nebula closest to the earth,3024,
nebula closest to the earth,2143,
nebula closest to the earth,1053,
nebula closest to the earth,5083,
nebula closest to the earth,2012,
nebula closest to the earth,2362,
nebula closest to the earth,6757,
galaxies near to the milky way,3918,
galaxies near to the milky way,3118,
galaxies near to the milky way,3352,
galaxies near to the milky way,2776,
galaxies near to the milky way,4758,
galaxies near to the milky way,4115,
galaxies near to the milky way,2508,
galaxies near to the milky way,4337,
galaxies near to the milky way,3620,
galaxies near to the milky way,6193,
galaxies near to the milky way,4731,
galaxies near to the milky way,3290,
galaxies near to the milky way,4288,
galaxies near to the milky way,2729,
galaxies near to the milky way,4242,
galaxies near to the milky way,302,
galaxies near to the milky way,3494,
galaxies near to the milky way,3481,
galaxies near to the milky way,6701,
galaxies near to the milky way,5201,
galaxies near to the milky way,4576,
galaxies near to the milky way,5339,
galaxies near to the milky way,368,
galaxies near to the milky way,296,
galaxies near to the milky way,3350,
galaxies near to the milky way,5166,
galaxies near to the milky way,1361,
galaxies near to the milky way,3955,
galaxies near to the milky way,6225,
galaxies near to the milky way,5452,
galaxies near to the milky way,2168,
galaxies near to the milky way,3398,
galaxies near to the milky way,2948,
galaxies near to the milky way,2685,
galaxies near to the milky way,275,
galaxies near to the milky way,2909,
galaxies near to the milky way,3428,
galaxies near to the milky way,5355,
galaxies near to the milky way,330,
galaxies near to the milky way,5161,
galaxies near to the milky way,517,
galaxies near to the milky way,3705,
galaxies near to the milky way,3369,
galaxies near to the milky way,4945,
galaxies near to the milky way,4860,
galaxies near to the milky way,4082,
galaxies near to the milky way,5154,
galaxies near to the milky way,6784,
galaxies near to the milky way,4208,
galaxies near to the milky way,6548,
brightest galaxies,1985,
brightest galaxies,845,
brightest galaxies,3744,
brightest galaxies,4437,
brightest galaxies,5219,
brightest galaxies,3338,
brightest galaxies,1031,
brightest galaxies,4194,
brightest galaxies,4517,
brightest galaxies,1370,
brightest galaxies,1503,
brightest galaxies,1022,
brightest galaxies,1493,
brightest galaxies,6035,
brightest galaxies,1068,
brightest galaxies,6322,
brightest galaxies,5224,
brightest galaxies,6058,
brightest galaxies,1050,
brightest galaxies,764,
brightest galaxies,1547,
brightest galaxies,6746,
brightest galaxies,517,
brightest galaxies,3369,
brightest galaxies,432,
brightest galaxies,4346,
brightest galaxies,1891,
brightest galaxies,6062,
brightest galaxies,834,
brightest galaxies,668,
brightest galaxies,5525,
brightest galaxies,1133,
brightest galaxies,624,
brightest galaxies,2504,
brightest galaxies,1802,
brightest galaxies,1445,
brightest galaxies,1404,
brightest galaxies,6564,
brightest galaxies,5463,
brightest galaxies,628,
brightest galaxies,4576,
brightest galaxies,114,
brightest galaxies,969,
brightest galaxies,6710,
brightest galaxies,5817,
brightest galaxies,6177,
brightest galaxies,4500,
brightest galaxies,1540,
brightest galaxies,1860,
brightest galaxies,5637,
strangest objects I can see,2436,
strangest objects I can see,6603,
strangest objects I can see,924,
strangest objects I can see,2589,
strangest objects I can see,6773,
strangest objects I can see,5429,
strangest objects I can see,5720,
strangest objects I can see,658,
strangest objects I can see,3974,
strangest objects I can see,736,
strangest objects I can see,3210,
strangest objects I can see,156,
strangest objects I can see,2207,
strangest objects I can see,4733,
strangest objects I can see,1344,
strangest objects I can see,236,
strangest objects I can see,942,
strangest objects I can see,2979,
strangest objects I can see,3784,
strangest objects I can see,4940,
strangest objects I can see,6578,
strangest objects I can see,4528,
strangest objects I can see,2336,
strangest objects I can see,2496,
strangest objects I can see,4355,
strangest objects I can see,3972,
strangest objects I can see,6150,
strangest objects I can see,3880,
strangest objects I can see,977,
strangest objects I can see,4878,
strangest objects I can see,4989,
strangest objects I can see,2051,
strangest objects I can see,369,
strangest objects I can see,4009,
strangest objects I can see,2102,
strangest objects I can see,409,
strangest objects I can see,3155,
strangest objects I can see,805,
strangest objects I can see,2074,
strangest objects I can see,6250,
strangest objects I can see,5883,
strangest objects I can see,1541,
strangest objects I can see,2909,
strangest objects I can see,6567,
strangest objects I can see,1948,
strangest objects I can see,6381,
strangest objects I can see,6774,
strangest objects I can see,2108,
strangest objects I can see,3653,
strangest objects I can see,5861,
objects I can see without a telescope,5429,
objects I can see without a telescope,2436,
objects I can see without a telescope,658,
objects I can see without a telescope,924,
objects I can see without a telescope,4940,
objects I can see without a telescope,6567,
objects I can see without a telescope,1948,
objects I can see without a telescope,3972,
objects I can see without a telescope,3974,
objects I can see without a telescope,41,
objects I can see without a telescope,1541,
objects I can see without a telescope,942,
objects I can see without a telescope,2074,
objects I can see without a telescope,2051,
objects I can see without a telescope,3815,
objects I can see without a telescope,1769,
objects I can see without a telescope,6381,
objects I can see without a telescope,6782,
objects I can see without a telescope,3249,
objects I can see without a telescope,2102,
objects I can see without a telescope,5776,
objects I can see without a telescope,6564,
objects I can see without a telescope,3880,
objects I can see without a telescope,541,
objects I can see without a telescope,1025,
objects I can see without a telescope,2589,
objects I can see without a telescope,6250,
objects I can see without a telescope,6069,
objects I can see without a telescope,3653,
objects I can see without a telescope,5883,
objects I can see without a telescope,805,
objects I can see without a telescope,5720,
objects I can see without a telescope,4276,
objects I can see without a telescope,4200,
objects I can see without a telescope,4009,
objects I can see without a telescope,156,
objects I can see without a telescope,1536,
objects I can see without a telescope,2139,
objects I can see without a telescope,4875,
objects I can see without a telescope,6774,
objects I can see without a telescope,283,
objects I can see without a telescope,6305,
objects I can see without a telescope,3210,
objects I can see without a telescope,3010,
objects I can see without a telescope,236,
objects I can see without a telescope,915,
objects I can see without a telescope,977,
objects I can see without a telescope,6773,
objects I can see without a telescope,4051,
objects I can see without a telescope,6559,
pulsar,234,
pulsar,4478,
pulsar,4277,
pulsar,3736,
pulsar,1008,
pulsar,6430,
pulsar,237,
pulsar,4022,
pulsar,4202,
pulsar,3927,
pulsar,4219,
pulsar,3929,
pulsar,4218,
pulsar,4120,
pulsar,4297,
pulsar,3932,
pulsar,4552,
pulsar,6543,
pulsar,3928,
pulsar,6383,
pulsar,5883,
pulsar,4041,
pulsar,5485,
pulsar,4042,
pulsar,641,
pulsar,6204,
pulsar,5954,
pulsar,2122,
pulsar,5,
pulsar,5499,
pulsar,1980,
pulsar,3972,
pulsar,2102,
pulsar,1397,
pulsar,1950,
pulsar,5800,
pulsar,3157,
pulsar,6567,
pulsar,6329,
pulsar,74,
pulsar,767,
pulsar,5901,
